The Custom CNN Evaluation Performance
              precision    recall  f1-score   support
           A       0.97      0.98      0.98       775
           B       0.98      0.99      0.99       810
           C       0.97      0.86      0.91       843
           D       0.98      0.99      0.98       791
           E       0.96      0.98      0.97       806
           F       0.97      0.97      0.97       785
           G       0.96      0.99      0.98       802
           H       0.98      0.99      0.98       783
           I       0.67      0.89      0.77       775
           J       0.97      0.98      0.97       774
           K       0.98      0.99      0.99       789
           L       0.98      0.97      0.97       791
           M       0.98      0.99      0.98       814
           N       0.98      0.98      0.98       805
           O       0.96      0.94      0.95       799
           P       0.97      0.99      0.98       773
           Q       0.97      0.96      0.97       814
           R       0.98      0.98      0.98       764
           S       0.93      0.92      0.92       804
           T       0.97      0.98      0.97       773
           U       0.96      0.96      0.96       787
           V       0.96      0.91      0.94       803
           W       0.95      0.98      0.97       795
           X       0.93      0.95      0.92       779
           Y       0.96      0.98      0.97       765
           Z       0.96      0.94      0.95       790
           a       0.99      0.95      0.97       809
           b       0.99      0.97      0.98       812
           c       0.85      0.98      0.91       765
           d       0.99      0.98      0.99       806
           e       0.99      0.96      0.97       804
           f       0.87      0.87      0.89       796
           g       0.98      0.97      0.98       813
           h       0.98      0.99      0.98       815
           i       0.78      0.77      0.78       784
           j       0.88      0.88      0.88       803
           k       0.99      0.98      0.98       760
           l       0.82      0.63      0.71       824
           m       0.99      0.98      0.99       812
           n       0.97      0.98      0.98       838
           o       0.93      0.96      0.94       792
           p       0.99      0.95      0.97       793
           q       0.93      0.92      0.93       813
           r       0.89      0.90      0.92       790
           s       0.95      0.96      0.95       832
           t       0.92      0.90      0.91       789
           u       0.95      0.97      0.96       815
           v       0.91      0.96      0.94       829
           w       0.98      0.95      0.97       776
           x       0.96      0.88      0.92       798
           y       0.99      0.95      0.97       790
           z       0.93      0.95      0.94       787
    accuracy                           0.95     41938
   macro avg       0.95      0.95      0.95     41938
weighted avg       0.95      0.95      0.95     41938
